start_dt,finish_dt,duration,distance_km,avg_speed_km_h,route,route features,notes
2023-10-14 06:30:00,2023-10-14 07:14:45,00:44:45,7.4,9.9,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-10-17 06:30:00,2023-10-17 07:14:47,00:44:47,7.4,9.9,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-10-19 06:30:00,2023-10-19 07:13:32,00:43:32,7.4,10.2,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-10-21 06:30:00,2023-10-21 07:11:55,00:41:55,7.4,10.6,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-10-24 06:30:00,2023-10-24 07:13:10,00:43:10,7.4,10.3,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-11-28 06:30:00,2023-11-28 07:00:50,00:30:50,4,7.8,Arabkir - Cascad - Arabkir,High elevation changes,first time after health issues break
2023-11-30 06:30:00,2023-11-30 06:58:35,00:28:35,4,8.4,Arabkir - Cascad - Arabkir,High elevation changes,
2023-12-02 06:30:00,2023-12-02 07:14:08,00:44:08,7.4,10.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-05 06:30:00,2023-12-05 07:16:03,00:46:03,7.4,9.6,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-07 06:30:00,2023-12-07 07:10:28,00:40:28,7.4,11.0,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-09 06:30:00,2023-12-09 07:15:00,00:45:00,7.4,9.9,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-14 06:30:00,2023-12-14 07:12:33,00:42:33,7.4,10.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-16 06:30:00,2023-12-16 07:15:36,00:45:36,7.4,9.7,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-19 06:30:00,2023-12-19 07:12:50,00:42:50,7.4,10.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-26 06:30:00,2023-12-26 07:13:20,00:43:20,7.4,10.2,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2023-12-28 06:30:00,2023-12-28 07:23:30,00:53:30,9.2,10.3,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2023-12-31 06:30:00,2023-12-31 07:23:35,00:53:35,9.4,10.5,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-02-06 07:00:00,2024-02-06 07:44:07,00:44:07,7.4,10.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-08 07:00:00,2024-02-08 07:42:37,00:42:37,7.4,10.4,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-10 07:00:00,2024-02-10 07:41:29,00:41:29,7.4,10.7,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-13 07:00:00,2024-02-13 07:41:27,00:41:27,7.4,10.7,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-16 07:00:00,2024-02-16 07:41:57,00:41:57,7.4,10.6,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-17 07:00:00,2024-02-17 07:56:05,00:56:05,9.4,10.1,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-02-20 07:00:00,2024-02-20 07:41:05,00:41:05,7.4,10.8,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-22 07:00:00,2024-02-22 07:41:25,00:41:25,7.4,10.7,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-24 07:00:00,2024-02-24 07:53:55,00:53:55,9.4,10.5,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-02-27 07:00:00,2024-02-27 07:40:25,00:40:25,7.4,11.0,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-02-29 07:00:00,2024-02-29 07:40:10,00:40:10,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-03-02 07:00:00,2024-03-02 07:52:50,00:52:50,9.4,10.7,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-03-09 07:00:00,2024-03-09 07:55:18,00:55:18,9.4,10.2,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-03-12 07:00:00,2024-03-12 07:40:34,00:40:34,7.4,10.9,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-03-14 07:00:00,2024-03-14 07:39:59,00:39:59,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-03-16 07:00:00,2024-03-16 07:53:45,00:53:45,9.4,10.5,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-03-23 07:00:00,2024-03-23 07:52:57,00:52:57,9.4,10.7,Arabkir - Razdan river 2 bridges - Arabkir,High elevation changes,
2024-03-26 07:00:00,2024-03-26 07:39:56,00:39:56,7.4,11.1,Arabkir - Tsitsernakaberd - Arabkir,High elevation changes,
2024-04-23 23:00:00,2024-04-23 23:18:23,00:18:23,3.7,12.1,4 standart SNT circles,,
2024-04-28 08:00:00,2024-04-28 08:26:37,00:26:37,5,11.3,SNT-Shedrino-SNT,,
2024-05-02 22:30:00,2024-05-02 22:57:20,00:27:20,5.6,12.3,6 SNT,,
2024-05-07 22:30:00,2024-05-07 22:57:12,00:27:12,5.6,12.4,6 SNT,,
2024-05-07 16:00:00,2024-05-07 16:22:59,00:22:59,5,13.1,SNT-Shedrino-SNT,,
2024-05-09 16:00:00,2024-05-09 16:22:59,00:22:59,5,13.1,SNT-Shedrino-SNT,,
2024-05-15 19:00:00,2024-05-15 19:19:26,00:19:26,4.3,13.3,Javoronki - SNT,,
