start_dt,type,formula,best_set_reps_num,total,notes,
2024-01-25 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-26 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-01-27 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-29 22:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-01-30 22:30:00,dips,5*20 + 2*35,35,170,,
2024-02-01 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-03 22:30:00,dips,5*20 + 3*30,30,190,,
2024-02-04 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-02-05 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-07 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-09 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-11 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-12 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-14 22:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-02-19 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-20 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-22 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-25 22:30:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
2024-02-26 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-28 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-03-01 22:30:00,dips,5*20 + 2*30,30,160,,
2024-03-03 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-03-06 22:30:00,dips,5*20 + 3*30,30,190,,
2024-03-07 22:30:00,pull_ups,5*10 + 2*15 + 2*10,15,100,,
2024-03-10 22:30:00,dips,5*20 + 3*30,30,190,,
2024-03-11 22:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
2024-03-12 22:30:00,dips,5*20 + 2*30,30,160,,
2024-03-13 16:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-03-14 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-15 16:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-03-17 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-19 16:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-03-20 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-22 16:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-03-26 16:30:00,dips,5*20 + 3*30,30,190,,
2024-03-27 16:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-04-05 16:30:00,dips,5*20,20,100,illness,
2024-04-06 16:30:00,pull_ups,5*10,10,50,,
2024-04-07 16:30:00,dips,7*20,20,140,,
2024-04-08 16:30:00,pull_ups,6*10,10,60,,
2024-04-09 16:30:00,dips,5*20 + 2*30,30,160,,
2024-04-10 18:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-14 14:00:00,dips,5*20 + 2*30,30,160,,
2024-04-15 15:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-20 14:30:00,dips,5*20 + 2*30,30,160,,
2024-04-22 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-24 14:30:00,dips,5*20 + 2*30,30,160,,
2024-04-25 22:00:00,pull_ups,3*10 + 2*15 + 2*10,15,80,"variations, abs",
2024-04-27 22:30:00,dips,5*20 + 2*30,30,160,,
2024-04-29 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-30 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-03 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-07 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-08 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-10 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-12 22:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
2024-05-13 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-15 16:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2024-05-17 22:30:00,dips,5*20 + 2*35,35,170,,
2024-05-19 21:30:00,pull_ups,5*10 + 2*17,17,84,,
2024-05-20 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-22 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-24 13:00:00,dips,5*20 + 2*30,30,160,,
2024-05-25 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-27 22:00:00,dips,5*20 + 2*30,30,160,,
2024-05-28 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-29 22:30:00,dips,5*20 + 2*30,30,160,,
2024-06-02 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-06-03 16:30:00,dips,5*20 + 2*35,35,170,,
2024-06-05 20:15:00,pull_ups,5*10 + 3*15,15,95,,
2024-06-07 22:30:00,dips,5*20 + 2*30,30,160,,
2024-06-08 18:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2024-06-11 20:30:00,dips,5*20 + 3*30,30,190,,
2024-06-12 20:00:00,pull_ups,5*10 + 2*15 + 2*10,15,100,,
