start_dt,duration,finish_dt,type,formula,best_set_reps_num,total,notes,
03-10-23 23:00,0:30:00,03-10-23 23:30,pull_ups,6*10 + 1*15,15,75,,
06-10-23 23:00,0:30:00,06-10-23 23:30,pull_ups,7*10 + 1*15 + 1*10,15,95,variations,
14-10-23 23:00,0:30:00,14-10-23 23:30,dips,5*20 + 1*30 + 1*35,35,165,,
16-10-23 23:00,0:30:00,16-10-23 23:30,pull_ups,5*10 + 2*15,15,80,,
19-10-23 23:00,0:30:00,19-10-23 23:30,dips,5*20 + 2*30,30,160,,
23-10-23 23:00,0:30:00,23-10-23 23:30,pull_ups,5*10 + 2*15,15,80,,
24-10-23 23:00,0:30:00,24-10-23 23:30,dips,5*20 + 2*30,30,160,,
12-11-23 17:00,0:30:00,12-11-23 17:30,pull_ups,6*10,10,60,,
26-11-23 17:00,0:30:00,26-11-23 17:30,pull_ups,7*10,10,70,,
03-12-23 20:00,0:30:00,03-12-23 20:30,pull_ups,5*10 + 1*20,20,70,,
05-12-23 22:30,0:30:00,05-12-23 23:00,dips,5*20 + 2*30,30,160,,
09-12-23 22:30,0:30:00,09-12-23 23:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
12-12-23 22:30,0:30:00,12-12-23 23:00,pull_ups,5*10 + 2*15,15,80,,
18-12-23 22:30,0:30:00,18-12-23 23:00,pull_ups,5*10 + 3*15,15,95,,
23-12-23 22:30,0:30:00,23-12-23 23:00,pull_ups,5*10,10,50,,
26-12-23 22:30,0:30:00,26-12-23 23:00,pull_ups,5*10 + 1*15 + 1*10 + 1*15,15,90,,
28-12-23 22:30,0:30:00,28-12-23 23:00,pull_ups,2*10 + 2*15 + 3*10,15,80,,
30-12-23 22:30,0:30:00,30-12-23 23:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
07-01-24 22:30,0:30:00,07-01-24 23:00,pull_ups,7*10,10,70,,
17-01-24 22:30,0:30:00,17-01-24 23:00,pull_ups,5*10 + 1*15,15,65,,
18-01-24 22:30,0:30:00,18-01-24 23:00,dips,4*20 + 1*30,30,110,,
20-01-24 22:30,0:30:00,20-01-24 23:00,pull_ups,4*10 + 2*15,15,70,,
22-01-24 22:30,0:30:00,22-01-24 23:00,dips,4*20 + 2*30,30,140,,
24-01-24 22:30,0:30:00,24-01-24 23:00,pull_ups,5*10 + 2*15,15,80,,
25-01-24 22:30,0:30:00,25-01-24 23:00,dips,5*20 + 2*30,30,160,,
26-01-24 22:30,0:30:00,26-01-24 23:00,pull_ups,5*10 + 2*15,15,80,,
27-01-24 22:30,0:30:00,27-01-24 23:00,dips,5*20 + 2*30,30,160,,
29-01-24 22:30,0:30:00,29-01-24 23:00,pull_ups,5*10 + 2*20,20,90,,
30-01-24 22:30,0:30:00,30-01-24 23:00,dips,5*20 + 2*35,35,170,,
01-02-24 22:30,0:30:00,01-02-24 23:00,pull_ups,5*10 + 2*15,15,80,,
03-02-24 22:30,0:30:00,03-02-24 23:00,dips,5*20 + 3*30,30,190,,
04-02-24 22:30,0:30:00,04-02-24 23:00,pull_ups,5*10 + 3*15,15,95,,
05-02-24 22:30,0:30:00,05-02-24 23:00,dips,5*20 + 2*30,30,160,,
07-02-24 22:30,0:30:00,07-02-24 23:00,pull_ups,5*10 + 2*15,15,80,,
09-02-24 22:30,0:30:00,09-02-24 23:00,dips,5*20 + 2*30,30,160,,
11-02-24 22:30,0:30:00,11-02-24 23:00,pull_ups,5*10 + 2*15,15,80,,
12-02-24 22:30,0:30:00,12-02-24 23:00,dips,5*20 + 2*30,30,160,,
14-02-24 22:30,0:30:00,14-02-24 23:00,pull_ups,5*10 + 2*20,20,90,,
19-02-24 22:30,0:30:00,19-02-24 23:00,dips,5*20 + 2*30,30,160,,
20-02-24 22:30,0:30:00,20-02-24 23:00,pull_ups,5*10 + 2*15,15,80,,
22-02-24 22:30,0:30:00,22-02-24 23:00,dips,5*20 + 2*30,30,160,,
25-02-24 22:30,0:30:00,25-02-24 23:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
26-02-24 22:30,0:30:00,26-02-24 23:00,dips,5*20 + 2*30,30,160,,
28-02-24 22:30,0:30:00,28-02-24 23:00,pull_ups,5*10 + 2*15,15,80,,
01-03-24 22:30,0:30:00,01-03-24 23:00,dips,5*20 + 2*30,30,160,,
03-03-24 22:30,0:30:00,03-03-24 23:00,pull_ups,5*10 + 3*15,15,95,,
06-03-24 22:30,0:30:00,06-03-24 23:00,dips,5*20 + 3*30,30,190,,
07-03-24 22:30,0:30:00,07-03-24 23:00,pull_ups,5*10 + 2*15 + 2*10,15,100,,
10-03-24 22:30,0:30:00,10-03-24 23:00,dips,5*20 + 3*30,30,190,,
11-03-24 22:30,0:30:00,11-03-24 23:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
12-03-24 22:30,0:30:00,12-03-24 23:00,dips,5*20 + 2*30,30,160,,
